Material_Order_ID,Delivery_Date,Order_Date,Order_Number,Material,Restaurant
R2M001000001,1995-01-01,1994-12-27,16995.0,米,0002
R1M001000001,1995-01-01,1994-12-24,6000.0,米,0001
R6M005000001,1995-01-01,1994-12-29,8000.0,鴨肉片,0006
R8M001000001,1995-01-01,1994-12-22,10000.0,米,0008
R1M002000001,1995-01-01,1994-12-24,8000.0,麵線,0001
R1M003000001,1995-01-01,1994-12-24,1500.0,全鴨,0001
R6M004000001,1995-01-01,1994-12-29,30000.0,香草,0006
R9M004000001,1995-01-01,1994-12-24,20000.0,香草,0009
R1M004000001,1995-01-01,1994-12-24,10000.0,香草,0001
R9M005000001,1995-01-01,1994-12-24,8000.0,鴨肉片,0009
R1M005000001,1995-01-01,1994-12-24,10000.0,鴨肉片,0001
R2M003000001,1995-01-01,1994-12-27,3000.0,全鴨,0002
R7M001000001,1995-01-01,1994-12-30,5000.0,米,0007
R7M005000001,1995-01-01,1994-12-30,10000.0,鴨肉片,0007
R7M004000001,1995-01-01,1994-12-30,8000.0,香草,0007
R10M001000001,1995-01-01,1994-12-26,15000.0,米,0010
R10M002000001,1995-01-01,1994-12-26,15000.0,麵線,0010
R10M003000001,1995-01-01,1994-12-26,2000.0,全鴨,0010
R6M002000001,1995-01-01,1994-12-29,10000.0,麵線,0006
R6M003000001,1995-01-01,1994-12-29,1000.0,全鴨,0006
R3M005000001,1995-01-01,1994-12-25,20000.0,鴨肉片,0003
R3M004000001,1995-01-01,1994-12-25,30000.0,香草,0003
R7M002000001,1995-01-01,1994-12-30,2000.0,麵線,0007
R2M004000001,1995-01-01,1994-12-27,30000.0,香草,0002
R2M002000001,1995-01-01,1994-12-27,15000.0,麵線,0002
R2M005000001,1995-01-01,1994-12-27,39937.0,鴨肉片,0002
R3M002000001,1995-01-01,1994-12-25,20000.0,麵線,0003
R3M001000001,1995-01-01,1994-12-25,20000.0,米,0003
R7M003000001,1995-01-01,1994-12-30,2000.0,全鴨,0007
R10M005000001,1995-01-01,1994-12-26,15000.0,鴨肉片,0010
R10M004000001,1995-01-01,1994-12-26,30000.0,香草,0010
R4M004000001,1995-01-01,1994-12-24,30000.0,香草,0004
R3M003000001,1995-01-01,1994-12-25,2500.0,全鴨,0003
R9M003000001,1995-01-01,1994-12-24,1500.0,全鴨,0009
R6M001000001,1995-01-01,1994-12-29,10000.0,米,0006
R8M005000001,1995-01-01,1994-12-22,8000.0,鴨肉片,0008
R5M002000001,1995-01-01,1994-12-26,10000.0,麵線,0005
R4M001000001,1995-01-01,1994-12-24,20000.0,米,0004
R4M005000001,1995-01-01,1994-12-24,20000.0,鴨肉片,0004
R9M002000001,1995-01-01,1994-12-24,10000.0,麵線,0009
R9M001000001,1995-01-01,1994-12-24,10000.0,米,0009
R4M003000001,1995-01-01,1994-12-24,2500.0,全鴨,0004
R8M004000001,1995-01-01,1994-12-22,20000.0,香草,0008
R8M002000001,1995-01-01,1994-12-22,10000.0,麵線,0008
R5M004000001,1995-01-01,1994-12-26,20000.0,香草,0005
R5M001000001,1995-01-01,1994-12-26,10000.0,米,0005
R5M003000001,1995-01-01,1994-12-26,2000.0,全鴨,0005
R8M003000001,1995-01-01,1994-12-22,1500.0,全鴨,0008
R5M005000001,1995-01-01,1994-12-26,15000.0,鴨肉片,0005
R4M002000001,1995-01-01,1994-12-24,28263.0,麵線,0004
R3M003000002,1995-01-08,1995-01-01,2500.0,全鴨,0003
R6M003000002,1995-01-09,1995-01-06,1000.0,全鴨,0006
R10M003000002,1995-01-09,1995-01-03,2000.0,全鴨,0010
R1M003000002,1995-01-12,1995-01-04,1500.0,全鴨,0001
R6M005000002,1995-01-12,1995-01-09,8000.0,鴨肉片,0006
R7M003000002,1995-01-13,1995-01-11,2000.0,全鴨,0007
R10M005000002,1995-01-14,1995-01-08,15000.0,鴨肉片,0010
R1M005000002,1995-01-14,1995-01-06,10000.0,鴨肉片,0001
R9M005000002,1995-01-15,1995-01-07,8000.0,鴨肉片,0009
R7M002000002,1995-01-15,1995-01-13,2000.0,麵線,0007
R4M003000002,1995-01-16,1995-01-08,2500.0,全鴨,0004
R3M003000003,1995-01-16,1995-01-09,2500.0,全鴨,0003
R7M004000002,1995-01-17,1995-01-15,8000.0,香草,0007
R3M005000002,1995-01-18,1995-01-11,20000.0,鴨肉片,0003
R2M003000002,1995-01-18,1995-01-13,5900.0,全鴨,0002
R8M005000002,1995-01-18,1995-01-08,8000.0,鴨肉片,0008
R4M005000002,1995-01-18,1995-01-10,20000.0,鴨肉片,0004
R6M003000003,1995-01-19,1995-01-16,1000.0,全鴨,0006
R10M003000003,1995-01-19,1995-01-13,2000.0,全鴨,0010
R7M005000002,1995-01-19,1995-01-17,10000.0,鴨肉片,0007
R8M003000002,1995-01-20,1995-01-10,1500.0,全鴨,0008
R9M003000002,1995-01-20,1995-01-12,1500.0,全鴨,0009
R2M005000002,1995-01-20,1995-01-15,20000.0,鴨肉片,0002
R5M003000002,1995-01-22,1995-01-16,3391.0,全鴨,0005
R3M003000004,1995-01-25,1995-01-18,2500.0,全鴨,0003
R6M005000003,1995-01-25,1995-01-22,8000.0,鴨肉片,0006
R7M003000003,1995-01-26,1995-01-24,2000.0,全鴨,0007
R10M005000003,1995-01-26,1995-01-20,15000.0,鴨肉片,0010
R1M003000003,1995-01-28,1995-01-20,1500.0,全鴨,0001
R5M005000002,1995-01-28,1995-01-22,15000.0,鴨肉片,0005
R9M005000003,1995-01-29,1995-01-21,8000.0,鴨肉片,0009
R10M003000004,1995-01-29,1995-01-23,2000.0,全鴨,0010
R1M005000003,1995-01-29,1995-01-21,10000.0,鴨肉片,0001
R6M003000004,1995-01-29,1995-01-26,1000.0,全鴨,0006
R1M004000002,1995-02-01,1995-01-24,10000.0,香草,0001
R4M003000003,1995-02-01,1995-01-24,2500.0,全鴨,0004
R7M002000003,1995-02-02,1995-01-31,2000.0,麵線,0007
R3M004000002,1995-02-02,1995-01-26,30000.0,香草,0003
R3M003000005,1995-02-02,1995-01-26,2500.0,全鴨,0003
R3M005000003,1995-02-04,1995-01-28,20000.0,鴨肉片,0003
R7M004000003,1995-02-04,1995-02-02,8000.0,香草,0007
R4M005000003,1995-02-06,1995-01-29,20000.0,鴨肉片,0004
R8M005000003,1995-02-06,1995-01-27,8000.0,鴨肉片,0008
R7M005000003,1995-02-07,1995-02-05,10000.0,鴨肉片,0007
R6M005000004,1995-02-07,1995-02-04,8000.0,鴨肉片,0006
R2M003000003,1995-02-07,1995-02-02,3000.0,全鴨,0002
R2M005000003,1995-02-08,1995-02-03,20526.0,鴨肉片,0002
R10M003000005,1995-02-08,1995-02-02,2000.0,全鴨,0010
R6M003000005,1995-02-08,1995-02-05,1000.0,全鴨,0006
R7M003000004,1995-02-08,1995-02-06,2000.0,全鴨,0007
R10M005000004,1995-02-09,1995-02-03,15000.0,鴨肉片,0010
R7M001000002,1995-02-09,1995-02-07,5000.0,米,0007
R1M001000002,1995-02-09,1995-02-01,6000.0,米,0001
R3M003000006,1995-02-10,1995-02-03,2500.0,全鴨,0003
R9M003000003,1995-02-11,1995-02-03,1500.0,全鴨,0009
R8M003000003,1995-02-11,1995-02-01,1500.0,全鴨,0008
R1M005000004,1995-02-12,1995-02-04,10000.0,鴨肉片,0001
R1M003000004,1995-02-13,1995-02-05,1500.0,全鴨,0001
R9M005000004,1995-02-14,1995-02-06,8000.0,鴨肉片,0009
R5M003000003,1995-02-16,1995-02-10,2000.0,全鴨,0005
R4M003000004,1995-02-18,1995-02-10,4722.0,全鴨,0004
R6M003000006,1995-02-18,1995-02-15,1000.0,全鴨,0006
R10M003000006,1995-02-18,1995-02-12,2000.0,全鴨,0010
R10M004000002,1995-02-18,1995-02-12,30000.0,香草,0010
R3M003000007,1995-02-19,1995-02-12,2500.0,全鴨,0003
R6M005000005,1995-02-20,1995-02-17,8000.0,鴨肉片,0006
R7M003000005,1995-02-22,1995-02-20,2000.0,全鴨,0007
R2M001000002,1995-02-22,1995-02-17,12000.0,米,0002
R3M005000004,1995-02-22,1995-02-15,20000.0,鴨肉片,0003
R7M004000004,1995-02-22,1995-02-20,8000.0,香草,0007
R10M005000005,1995-02-23,1995-02-17,15000.0,鴨肉片,0010
R4M005000004,1995-02-25,1995-02-17,34463.0,鴨肉片,0004
R8M005000004,1995-02-26,1995-02-16,8000.0,鴨肉片,0008
R7M002000004,1995-02-26,1995-02-24,2000.0,麵線,0007
R1M003000005,1995-02-26,1995-02-18,1500.0,全鴨,0001
R3M003000008,1995-02-27,1995-02-20,2500.0,全鴨,0003
R5M005000003,1995-02-27,1995-02-21,21957.0,鴨肉片,0005
R1M005000005,1995-02-28,1995-02-20,10000.0,鴨肉片,0001
R2M003000004,1995-02-28,1995-02-23,3000.0,全鴨,0002
R6M003000007,1995-02-28,1995-02-25,1000.0,全鴨,0006
R10M003000007,1995-02-28,1995-02-22,2000.0,全鴨,0010
R2M005000004,1995-03-01,1995-02-24,20000.0,鴨肉片,0002
R7M005000004,1995-03-01,1995-02-27,10000.0,鴨肉片,0007
R10M001000002,1995-03-02,1995-02-24,15000.0,米,0010
R1M002000002,1995-03-02,1995-02-22,8000.0,麵線,0001
R9M005000005,1995-03-03,1995-02-23,8000.0,鴨肉片,0009
R8M003000004,1995-03-03,1995-02-21,1500.0,全鴨,0008
R2M004000002,1995-03-04,1995-02-27,30000.0,香草,0002
R1M004000003,1995-03-05,1995-02-25,10000.0,香草,0001
R9M003000004,1995-03-05,1995-02-25,1500.0,全鴨,0009
R4M003000005,1995-03-06,1995-02-26,3078.0,全鴨,0004
R4M004000002,1995-03-06,1995-02-26,45239.0,香草,0004
R7M003000006,1995-03-07,1995-03-05,2000.0,全鴨,0007
R3M003000009,1995-03-07,1995-02-28,2500.0,全鴨,0003
R3M004000003,1995-03-07,1995-02-28,30000.0,香草,0003
R6M005000006,1995-03-07,1995-03-04,8000.0,鴨肉片,0006
R10M003000008,1995-03-10,1995-03-04,2000.0,全鴨,0010
R10M005000006,1995-03-10,1995-03-04,15000.0,鴨肉片,0010
R6M003000008,1995-03-11,1995-03-08,1000.0,全鴨,0006
R7M004000005,1995-03-11,1995-03-09,8000.0,香草,0007
R5M003000004,1995-03-14,1995-03-08,3900.0,全鴨,0005
R1M003000006,1995-03-14,1995-03-06,1500.0,全鴨,0001
R3M005000005,1995-03-15,1995-03-08,20000.0,鴨肉片,0003
R3M003000010,1995-03-17,1995-03-10,2500.0,全鴨,0003
R2M003000005,1995-03-19,1995-03-14,5587.0,全鴨,0002
R1M005000006,1995-03-19,1995-03-11,10000.0,鴨肉片,0001
R1M001000003,1995-03-19,1995-03-11,6000.0,米,0001
R7M001000003,1995-03-20,1995-03-18,5000.0,米,0007
R9M001000002,1995-03-20,1995-03-12,10000.0,米,0009
R5M001000002,1995-03-20,1995-03-14,10000.0,米,0005
R7M003000007,1995-03-20,1995-03-18,2000.0,全鴨,0007
R10M003000009,1995-03-20,1995-03-14,2000.0,全鴨,0010
R6M003000009,1995-03-21,1995-03-18,1000.0,全鴨,0006
R6M001000002,1995-03-21,1995-03-18,10000.0,米,0006
R5M004000002,1995-03-21,1995-03-15,20000.0,香草,0005
R4M005000005,1995-03-21,1995-03-13,28944.0,鴨肉片,0004
R8M005000005,1995-03-21,1995-03-11,8000.0,鴨肉片,0008
R9M005000006,1995-03-22,1995-03-14,8000.0,鴨肉片,0009
R4M001000002,1995-03-23,1995-03-15,20000.0,米,0004
R4M003000006,1995-03-23,1995-03-15,4022.0,全鴨,0004
R6M005000007,1995-03-23,1995-03-20,8000.0,鴨肉片,0006
R8M003000005,1995-03-25,1995-03-15,1500.0,全鴨,0008
R3M003000011,1995-03-26,1995-03-19,2500.0,全鴨,0003
R7M005000005,1995-03-26,1995-03-24,10000.0,鴨肉片,0007
R9M003000005,1995-03-27,1995-03-19,1500.0,全鴨,0009
R2M002000002,1995-03-27,1995-03-22,15000.0,麵線,0002
R2M005000005,1995-03-27,1995-03-22,32389.0,鴨肉片,0002
R1M003000007,1995-03-28,1995-03-20,1500.0,全鴨,0001
R7M004000006,1995-03-29,1995-03-27,8000.0,香草,0007
R10M005000007,1995-03-29,1995-03-23,15000.0,鴨肉片,0010
R10M003000010,1995-03-29,1995-03-23,2000.0,全鴨,0010
R6M003000010,1995-03-31,1995-03-28,1000.0,全鴨,0006
R10M002000002,1995-04-02,1995-03-27,15000.0,麵線,0010
R3M001000002,1995-04-02,1995-03-26,20000.0,米,0003
R7M003000008,1995-04-03,1995-04-01,2000.0,全鴨,0007
R3M003000012,1995-04-03,1995-03-27,2500.0,全鴨,0003
R8M004000002,1995-04-03,1995-03-24,20000.0,香草,0008
R9M004000002,1995-04-05,1995-03-28,20000.0,香草,0009
R5M005000004,1995-04-06,1995-03-31,15000.0,鴨肉片,0005
R7M002000005,1995-04-07,1995-04-05,2000.0,麵線,0007
R1M004000004,1995-04-07,1995-03-30,10000.0,香草,0001
R2M003000006,1995-04-07,1995-04-02,3000.0,全鴨,0002
R5M003000005,1995-04-08,1995-04-02,2160.0,全鴨,0005
R4M003000007,1995-04-09,1995-04-01,2500.0,全鴨,0004
R6M004000002,1995-04-09,1995-04-06,30000.0,香草,0006
R3M005000006,1995-04-09,1995-04-02,20000.0,鴨肉片,0003
R10M004000003,1995-04-09,1995-04-03,30000.0,香草,0010
R10M003000011,1995-04-09,1995-04-03,2000.0,全鴨,0010
R6M005000008,1995-04-10,1995-04-07,8000.0,鴨肉片,0006
R1M005000007,1995-04-11,1995-04-03,10000.0,鴨肉片,0001
R6M003000011,1995-04-11,1995-04-08,1000.0,全鴨,0006
R3M003000013,1995-04-12,1995-04-05,2500.0,全鴨,0003
R1M003000008,1995-04-12,1995-04-04,1500.0,全鴨,0001
R3M004000004,1995-04-12,1995-04-05,30000.0,香草,0003
R9M005000007,1995-04-15,1995-04-07,8000.0,鴨肉片,0009
R8M003000006,1995-04-15,1995-04-05,1500.0,全鴨,0008
R7M003000009,1995-04-16,1995-04-14,2000.0,全鴨,0007
R7M004000007,1995-04-16,1995-04-14,8000.0,香草,0007
R9M003000006,1995-04-16,1995-04-08,1500.0,全鴨,0009
R10M003000012,1995-04-19,1995-04-13,2000.0,全鴨,0010
R10M005000008,1995-04-19,1995-04-13,15000.0,鴨肉片,0010
R8M005000006,1995-04-19,1995-04-09,8000.0,鴨肉片,0008
R8M001000002,1995-04-20,1995-04-10,10000.0,米,0008
R4M005000006,1995-04-20,1995-04-12,20000.0,鴨肉片,0004
